"","State","Total","    18 - 24","    25 - 39","    40 - 54","    55 - 64","    65 and above","    Male","    Female","    Hispanic or Latino (may be of any race)","    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Less than high school","    High school or GED","    Some college/associate’s degree","    Bachelor’s degree or higher","    Married","    Widowed","    Divorced/separated","    Never married","    Did not report...22","    1 person in the household","    2 people in the household","    3 people in the household","    4 people in the household","    5 people in the household","    6 people in the household","    7 or more people in the household","    Children in household","    No children","    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above","    Did not report...40"
"43","Tennessee",9.51903,NA,10.065182,13.645354,10.590467,4.57819,7.377255,11.504585,15.818838,8.425841,16.459747,NA,12.754347,13.433477,9.000762,3.856342,7.724365,NA,17.466278,10.907209,NA,15.339484,7.500424,11.897517,5.223126,16.608596,NA,16.747183,10.985892,8.597929,33.641743,24.889802,5.046587,5.372626,2.829163,NA,NA,NA,4.899548
"44","Texas",10.597032,NA,12.087801,11.440678,11.699436,6.046417,11.16972,10.046495,15.974927,6.053845,11.415667,1.857658,23.880506,12.142029,9.261387,3.411899,9.461726,NA,15.828342,10.219723,NA,11.398084,10.371248,8.309121,6.248399,8.287351,17.691224,29.755933,13.636453,8.537857,29.216035,15.049479,12.843503,6.528272,6.026889,1.362953,NA,NA,10.478257
"45","Utah",6.298431,NA,7.17636,8.610591,4.579373,3.886046,6.437186,6.158779,11.295693,4.371318,NA,NA,NA,10.743938,6.303049,2.250071,4.082944,7.006037,17.681057,7.547003,12.420575,6.836992,5.619445,10.225821,NA,13.540302,0.737803,NA,4.620698,7.745449,23.885281,11.279547,7.869214,5.782196,NA,NA,NA,NA,1.845669
"46","Vermont",9.461666,NA,12.335343,13.456108,9.830534,3.580578,11.266084,7.720936,NA,7.354602,NA,NA,NA,17.488997,10.517036,1.315126,6.00188,NA,13.421615,18.499903,NA,7.322089,7.718894,12.49068,9.878338,NA,NA,NA,8.091849,10.083818,16.602557,NA,23.965794,7.502476,14.73111,NA,NA,NA,10.543078
"47","Virginia",7.0905989,NA,6.0271248,10.9408112,7.2587458,3.7979897,6.0189189,8.0995194,18.7350166,3.4954261,12.7271609,3.0494258,29.8749848,9.6685693,6.0381745,3.1428529,5.0460626,16.2851782,13.100045,7.135874,NA,6.8917174,5.6319628,10.3939503,4.5713544,8.7321577,NA,NA,9.3689455,5.8098189,28.2579311,17.1201541,13.267288,8.0711239,NA,0.6394559,NA,NA,3.0545443
"48","Washington",6.489805,16.903981,5.388765,6.912588,6.979575,NA,6.459212,6.520254,11.963562,5.722133,8.485336,1.217127,14.239204,8.924128,8.12827,1.610151,3.2228,4.255429,11.000633,11.438078,NA,5.478397,3.563088,6.661154,9.229344,10.97817,6.157912,10.187976,8.656496,5.187575,24.155999,10.258385,11.284984,5.838529,3.82621,NA,NA,NA,4.80695
"49","West Virginia",9.994771,NA,10.369461,15.781621,9.667868,NA,6.618192,13.259206,NA,8.98756,NA,NA,47.046225,8.166605,12.118644,2.359694,7.827766,NA,17.405852,NA,NA,16.297151,6.470839,10.54049,NA,NA,NA,10.187521,9.931935,10.03184,20.052927,17.961171,NA,NA,NA,NA,NA,NA,5.06376
"50","Wisconsin",7.496313,NA,5.714315,13.372903,4.543667,5.373976,8.097355,6.905274,24.359355,5.276151,16.687142,NA,41.715849,9.206679,5.685496,NA,4.406295,16.744505,15.328624,9.05393,NA,7.550677,5.608094,11.216683,4.49612,NA,NA,27.023651,11.388878,5.505386,21.346106,16.935804,6.889341,8.647528,NA,NA,NA,NA,6.891541
"51","Wyoming",6.732519,NA,10.071125,11.936467,4.920749,2.849564,6.831184,6.630303,3.547156,5.998969,NA,NA,NA,8.028362,8.262725,2.172029,4.294428,NA,17.024236,5.352445,NA,9.774419,3.324293,11.330139,4.053727,NA,NA,10.716458,8.540969,5.677689,21.502356,15.384615,6.397202,NA,NA,NA,NA,NA,8.298842
"52","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
